NOM_CAPA,longitude,latitude,EQUIPAMENT,NOM_DISTRICTE,NOM_BARRI
Metro i línies urbanes FGC,2.178923,41.444281,Via Júlia (Via Júlia / Joaquim Valls)-,Nou Barris,la Prosperitat
Metro i línies urbanes FGC,2.206108,41.423466,La Pau (Rambla Guipúscoa / Ca n'Oliva)-,Sant Martí,la Verneda i la Pau
Metro i línies urbanes FGC,2.137098,41.330188,METRO (L10S) - Ecoparc-,Sants-Montjuïc,la Marina del Prat Vermell
Metro i línies urbanes FGC,2.173369,41.437013,METRO (L4) - Llucmajor-,Nou Barris,la Guineueta
Metro i línies urbanes FGC,2.150433,41.405766,METRO (L3) - Lesseps-,Gràcia,la Vila de Gràcia
Metro i línies urbanes FGC,2.193017,41.386715,METRO (L4) - Ciutadella | Vila Olímpica-,Sant Martí,la Vila Olímpica del Poblenou
Metro i línies urbanes FGC,2.175585,41.394915,METRO (L2) - Tetuan-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.17569,41.376567,METRO (L3) - Drassanes-,Ciutat Vella,el Raval
Metro i línies urbanes FGC,2.153048,41.402037,METRO (L3) - Fontana-,Gràcia,la Vila de Gràcia
Metro i línies urbanes FGC,2.187001,41.422397,METRO (L1) - La Sagrera-,Sant Andreu,la Sagrera
Metro i línies urbanes FGC,2.145074,41.38415,Entença (Entença)-,Eixample,la Nova Esquerra de l'Eixample
Metro i línies urbanes FGC,2.173094,41.403718,Sagrada Família (Sardenya)-,Eixample,la Sagrada Família
Metro i línies urbanes FGC,2.159887,41.3961,Diagonal (Diagonal / Rambla Catalunya)-,Eixample,la Dreta de l'Eixample
Metro i línies urbanes FGC,2.143278,41.375426,Hostafrancs (Consell de Cent)-,Sants-Montjuïc,Hostafrancs
Metro i línies urbanes FGC,2.138587,41.375299,Plaça de Sants (Cros)-,Sants-Montjuïc,Sants
Metro i línies urbanes FGC,2.178625,41.44359,Via Júlia (Via Júlia / Argullós)-,Nou Barris,la Prosperitat
Metro i línies urbanes FGC,2.145151,41.378926,Tarragona (València)-,Eixample,la Nova Esquerra de l'Eixample
Metro i línies urbanes FGC,2.145789,41.377887,Tarragona (Tarragona)-,Sants-Montjuïc,Hostafrancs
Metro i línies urbanes FGC,2.21544,41.415712,Besòs Mar (Ferrer Bassa)-,Sant Martí,el Besòs i el Maresme
Metro i línies urbanes FGC,2.209593,41.408242,Selva de Mar (Selva de Mar)-,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou
Metro i línies urbanes FGC,2.19344,41.387931,Ciutadella | Vila Olímpica (Avinguda Icària)-,Sant Martí,la Vila Olímpica del Poblenou
Metro i línies urbanes FGC,2.180809,41.423585,Congrés (Francesc Tàrrega)-,Sant Andreu,el Congrés i els Indians
Metro i línies urbanes FGC,2.176487,41.425536,Maragall (Prat d'en Roquer)-,Nou Barris,Vilapicina i la Torre Llobeta
Metro i línies urbanes FGC,2.14174,41.424703,Vall d'Hebron (Avinguda Jordà)-,Horta-Guinardó,Sant Genís dels Agudells
Metro i línies urbanes FGC,2.174807,41.394865,Tetuan (Diputació / Passeig de Sant Joan)-,Eixample,la Dreta de l'Eixample
