name,latitude,longitude,type,geometry
Balmes - Rosselló,41.39356,2.156883,"{'typepoint': {'type': 'Point', 'coordinates': [41.39356, 2.156883]}}",POINT (2.156883 41.39356)
Aribau - Còrsega,41.392249,2.154319,"{'typepoint': {'type': 'Point', 'coordinates': [41.392249, 2.154319]}}",POINT (2.154319 41.392249)
Dos de Maig - Indústria,41.41083,2.176939,"{'typepoint': {'type': 'Point', 'coordinates': [41.41083, 2.176939]}}",POINT (2.176939 41.41083)
Pau Claris - Gran Via,41.390946,2.169374,"{'typepoint': {'type': 'Point', 'coordinates': [41.390946, 2.169374]}}",POINT (2.169374 41.390946)
Marina - Ausiàs Marc,41.397652,2.183325,"{'typepoint': {'type': 'Point', 'coordinates': [41.397652, 2.183325]}}",POINT (2.183325 41.397652)
Llúria - Urquinaona,41.390187,2.172837,"{'typepoint': {'type': 'Point', 'coordinates': [41.390187, 2.172837]}}",POINT (2.172837 41.390187)
Ronda Guineueta Vella - Antonio Machado,41.441537,2.162056,"{'typepoint': {'type': 'Point', 'coordinates': [41.441537, 2.162056]}}",POINT (2.162056 41.441537)
Pl Karl Marx - Pg  Vall d'Hebron,41.440677,2.161721,"{'typepoint': {'type': 'Point', 'coordinates': [41.440677, 2.161721]}}",POINT (2.161721 41.440677)
Sant Antoni Maria Claret - Independència,41.413257,2.176982,"{'typepoint': {'type': 'Point', 'coordinates': [41.413257, 2.176982]}}",POINT (2.176982 41.413257)
Mallorca - Dos de Maig,41.407311,2.180417,"{'typepoint': {'type': 'Point', 'coordinates': [41.407311, 2.180417]}}",POINT (2.180417 41.407311)
Diagonal - Pl Reina Maria Cristina,41.388444,2.127386,"{'typepoint': {'type': 'Point', 'coordinates': [41.388444, 2.127386]}}",POINT (2.127386 41.388444)
Sinaí,41.424848,2.138359,"{'typepoint': {'type': 'Point', 'coordinates': [41.424848, 2.138359]}}",POINT (2.138359 41.424848)
Manuel Girona - Carles III,41.392127,2.128123,"{'typepoint': {'type': 'Point', 'coordinates': [41.392127, 2.128123]}}",POINT (2.128123 41.392127)
Arquitectura - Àngel Marquès,41.429315,2.141186,"{'typepoint': {'type': 'Point', 'coordinates': [41.429315, 2.141186]}}",POINT (2.141186 41.429315)
Av Gaudí - Castillejos,41.41062,2.17348,"{'typepoint': {'type': 'Point', 'coordinates': [41.41062, 2.17348]}}",POINT (2.17348 41.41062)
València - Padilla,41.404688,2.179403,"{'typepoint': {'type': 'Point', 'coordinates': [41.404688, 2.179403]}}",POINT (2.179403 41.404688)
Pl de la Font Castellana,41.415164,2.166882,"{'typepoint': {'type': 'Point', 'coordinates': [41.415164, 2.166882]}}",POINT (2.166882 41.415164)
Camèlies - Abd el-Kader,41.413864,2.164368,"{'typepoint': {'type': 'Point', 'coordinates': [41.413864, 2.164368]}}",POINT (2.164368 41.413864)
